dataset_name,D,gamma,Errors_train,Errors_test,Resolution_time
titanic,2,0.0,62,22,10.0
titanic,2,0.2,54,23,10.1
titanic,2,0.4,56,19,10.0
titanic,2,0.6,46,18,10.0
titanic,2,0.8,58,18,10.1
titanic,2,1.0,55,21,10.1
titanic,3,0.0,78,22,10.1
titanic,3,0.2,64,20,10.1
titanic,3,0.4,76,23,10.1
titanic,3,0.6,66,23,10.1
titanic,3,0.8,87,26,10.1
titanic,3,1.0,201,50,10.1
titanic,4,0.0,123,31,10.1
titanic,4,0.2,70,20,10.2
titanic,4,0.4,84,29,10.3
titanic,4,0.6,51,16,10.4
titanic,4,0.8,144,44,10.2
titanic,4,1.0,201,50,10.3
iris,2,0.0,21,6,0.1
iris,2,0.2,6,1,0.7
iris,2,0.4,1,3,0.5
iris,2,0.6,1,3,1.0
iris,2,0.8,1,3,0.5
iris,2,1.0,1,3,0.7
iris,3,0.0,19,1,0.9
iris,3,0.2,3,8,0.6
iris,3,0.4,0,4,0.8
iris,3,0.6,0,1,0.6
iris,3,0.8,0,4,0.7
iris,3,1.0,0,3,1.3
iris,4,0.0,34,4,4.4
iris,4,0.2,3,7,0.7
iris,4,0.4,0,0,1.1
iris,4,0.6,0,0,1.0
iris,4,0.8,0,1,0.9
iris,4,1.0,0,0,5.9
seeds,2,0.0,48,11,0.3
seeds,2,0.2,8,4,1.8
seeds,2,0.4,3,1,4.2
seeds,2,0.6,1,3,1.2
seeds,2,0.8,0,1,0.9
seeds,2,1.0,0,1,0.8
seeds,3,0.0,56,16,2.4
seeds,3,0.2,9,6,10.0
seeds,3,0.4,3,3,10.0
seeds,3,0.6,2,5,4.8
seeds,3,0.8,0,1,1.4
seeds,3,1.0,0,1,3.2
seeds,4,0.0,45,16,10.1
seeds,4,0.2,9,5,10.1
seeds,4,0.4,3,1,10.1
seeds,4,0.6,15,3,10.1
seeds,4,0.8,0,2,4.3
seeds,4,1.0,109,31,10.1
wine,2,0.0,16,4,0.2
wine,2,0.2,10,3,0.2
wine,2,0.4,0,2,0.3
wine,2,0.6,0,1,0.3
wine,2,0.8,0,1,0.3
wine,2,1.0,0,1,0.3
wine,3,0.0,16,3,0.6
wine,3,0.2,10,2,0.5
wine,3,0.4,0,1,0.7
wine,3,0.6,0,2,0.8
wine,3,0.8,0,2,0.9
wine,3,1.0,0,1,0.9
wine,4,0.0,16,2,1.5
wine,4,0.2,10,2,1.6
wine,4,0.4,0,2,2.0
wine,4,0.6,0,2,4.2
wine,4,0.8,0,2,3.0
wine,4,1.0,0,2,3.1
penguins,2,0.0,7,0,0.1
penguins,2,0.2,4,3,1.1
penguins,2,0.4,0,1,0.2
penguins,2,0.6,0,1,0.3
penguins,2,0.8,0,1,0.4
penguins,2,1.0,0,1,0.5
penguins,3,0.0,7,0,0.1
penguins,3,0.2,6,2,3.3
penguins,3,0.4,0,1,0.7
penguins,3,0.6,0,2,0.8
penguins,3,0.8,0,1,6.3
penguins,3,1.0,0,1,4.0
penguins,4,0.0,7,0,0.5
penguins,4,0.2,5,0,10.1
penguins,4,0.4,0,3,5.9
penguins,4,0.6,0,1,1.9
penguins,4,0.8,63,5,10.1
penguins,4,1.0,159,32,10.1
