dataset_name,D,gamma,Errors_train,Errors_test,Resolution_time
titanic,2,0.0,41,22,10.1
titanic,2,0.2,52,18,10.1
titanic,2,0.4,69,20,10.1
titanic,2,0.6,57,20,10.1
titanic,2,0.8,46,17,10.1
titanic,2,1.0,55,21,10.1
titanic,3,0.0,72,28,10.1
titanic,3,0.2,86,28,10.1
titanic,3,0.4,51,17,10.1
titanic,3,0.6,126,34,10.1
titanic,3,0.8,60,17,10.1
titanic,3,1.0,201,50,10.1
titanic,4,0.0,201,50,10.2
titanic,4,0.2,114,31,10.2
titanic,4,0.4,140,36,10.2
titanic,4,0.6,78,25,10.2
titanic,4,0.8,140,36,10.2
titanic,4,1.0,201,50,10.3
iris,2,0.0,1,0,0.1
iris,2,0.2,1,3,0.3
iris,2,0.4,1,3,0.4
iris,2,0.6,1,3,1.0
iris,2,0.8,1,0,0.8
iris,2,1.0,1,3,0.9
iris,3,0.0,0,2,0.2
iris,3,0.2,0,0,0.3
iris,3,0.4,0,0,1.0
iris,3,0.6,0,0,1.2
iris,3,0.8,0,0,1.4
iris,3,1.0,0,3,1.3
iris,4,0.0,0,4,0.6
iris,4,0.2,0,0,0.6
iris,4,0.4,0,1,3.3
iris,4,0.6,0,1,6.7
iris,4,0.8,0,0,2.3
iris,4,1.0,0,0,7.7
seeds,2,0.0,1,1,0.4
seeds,2,0.2,0,1,0.5
seeds,2,0.4,0,1,0.8
seeds,2,0.6,0,1,0.3
seeds,2,0.8,0,1,1.0
seeds,2,1.0,0,1,1.2
seeds,3,0.0,0,2,0.9
seeds,3,0.2,0,2,1.2
seeds,3,0.4,0,2,1.4
seeds,3,0.6,0,2,1.9
seeds,3,0.8,0,3,5.2
seeds,3,1.0,0,1,4.3
seeds,4,0.0,0,2,1.3
seeds,4,0.2,0,3,3.9
seeds,4,0.4,0,0,5.5
seeds,4,0.6,8,4,10.2
seeds,4,0.8,2,2,10.2
seeds,4,1.0,109,31,10.5
wine,2,0.0,0,2,0.1
wine,2,0.2,0,2,0.3
wine,2,0.4,0,1,0.3
wine,2,0.6,0,2,0.4
wine,2,0.8,0,2,0.4
wine,2,1.0,0,1,0.4
wine,3,0.0,0,2,1.0
wine,3,0.2,0,2,0.8
wine,3,0.4,0,3,1.7
wine,3,0.6,0,1,1.2
wine,3,0.8,0,1,1.7
wine,3,1.0,0,1,1.4
wine,4,0.0,0,2,1.3
wine,4,0.2,0,1,2.3
wine,4,0.4,0,1,2.5
wine,4,0.6,0,1,4.8
wine,4,0.8,0,1,3.5
wine,4,1.0,0,2,3.9
penguins,2,0.0,0,1,0.1
penguins,2,0.2,0,1,0.2
penguins,2,0.4,0,1,0.1
penguins,2,0.6,0,1,0.5
penguins,2,0.8,0,1,0.5
penguins,2,1.0,0,1,0.6
penguins,3,0.0,0,1,0.3
penguins,3,0.2,0,1,0.6
penguins,3,0.4,0,1,1.0
penguins,3,0.6,0,1,4.0
penguins,3,0.8,0,2,3.0
penguins,3,1.0,0,1,3.9
penguins,4,0.0,0,1,1.2
penguins,4,0.2,0,1,1.2
penguins,4,0.4,0,1,2.4
penguins,4,0.6,0,1,3.2
penguins,4,0.8,159,32,10.2
penguins,4,1.0,159,32,10.2
