dataset_name,D,gamma,Errors_train,Errors_test,Resolution_time
titanic,2,0.0,141,36,1.2
titanic,2,0.2,201,50,0.2
titanic,2,0.4,140,36,0.2
titanic,2,0.6,201,50,0.3
titanic,2,0.8,201,50,0.6
titanic,2,1.0,201,50,0.4
titanic,3,0.0,201,50,0.1
titanic,3,0.2,201,50,0.4
titanic,3,0.4,201,50,0.9
titanic,3,0.6,201,50,1.6
titanic,3,0.8,139,36,3.0
titanic,3,1.0,201,50,2.0
titanic,4,0.0,201,50,0.2
titanic,4,0.2,216,53,1.4
titanic,4,0.4,140,36,1.1
titanic,4,0.6,201,50,3.4
titanic,4,0.8,201,50,10.2
titanic,4,1.0,201,50,3.8
iris,2,0.0,38,12,0.0
iris,2,0.2,13,3,0.1
iris,2,0.4,5,1,0.2
iris,2,0.6,5,1,0.3
iris,2,0.8,5,1,1.7
iris,2,1.0,5,1,2.3
iris,3,0.0,35,11,0.2
iris,3,0.2,10,3,0.8
iris,3,0.4,0,1,2.5
iris,3,0.6,0,1,1.4
iris,3,0.8,0,1,3.8
iris,3,1.0,0,1,3.1
iris,4,0.0,35,11,0.7
iris,4,0.2,8,2,8.1
iris,4,0.4,0,2,1.4
iris,4,0.6,0,2,5.4
iris,4,0.8,2,4,10.1
iris,4,1.0,1,1,10.1
seeds,2,0.0,54,17,0.1
seeds,2,0.2,24,7,0.5
seeds,2,0.4,14,2,0.6
seeds,2,0.6,10,3,2.3
seeds,2,0.8,10,3,9.1
seeds,2,1.0,11,2,10.0
seeds,3,0.0,55,18,0.4
seeds,3,0.2,31,12,6.1
seeds,3,0.4,7,3,8.9
seeds,3,0.6,13,3,10.0
seeds,3,0.8,10,3,10.1
seeds,3,1.0,13,4,10.0
seeds,4,0.0,54,20,2.3
seeds,4,0.2,21,10,10.1
seeds,4,0.4,14,2,10.1
seeds,4,0.6,13,2,10.1
seeds,4,0.8,46,12,10.1
seeds,4,1.0,18,8,10.2
wine,2,0.0,43,10,0.1
wine,2,0.2,12,2,0.4
wine,2,0.4,7,3,0.4
wine,2,0.6,5,2,1.4
wine,2,0.8,6,2,4.8
wine,2,1.0,5,2,10.0
wine,3,0.0,50,14,0.4
wine,3,0.2,9,2,5.9
wine,3,0.4,2,0,6.8
wine,3,0.6,0,2,10.0
wine,3,0.8,3,4,10.1
wine,3,1.0,3,1,10.0
wine,4,0.0,40,8,2.0
wine,4,0.2,10,1,10.0
wine,4,0.4,2,0,10.0
wine,4,0.6,5,1,10.0
wine,4,0.8,7,3,10.1
wine,4,1.0,54,18,10.1
penguins,2,0.0,159,32,0.0
penguins,2,0.2,17,1,0.2
penguins,2,0.4,16,1,0.5
penguins,2,0.6,11,2,2.3
penguins,2,0.8,11,1,10.0
penguins,2,1.0,13,5,10.1
penguins,3,0.0,159,32,0.0
penguins,3,0.2,12,1,6.1
penguins,3,0.4,6,1,10.1
penguins,3,0.6,8,1,10.0
penguins,3,0.8,8,1,10.1
penguins,3,1.0,13,4,10.1
penguins,4,0.0,159,32,0.0
penguins,4,0.2,14,1,10.1
penguins,4,0.4,7,3,10.1
penguins,4,0.6,10,0,10.2
penguins,4,0.8,66,9,10.1
penguins,4,1.0,159,32,10.3
