dataset_name,D,gamma,Errors_train,Errors_test,Resolution_time
titanic,2,0.0,64,19,0.3
titanic,2,0.2,67,20,10.1
titanic,2,0.4,140,36,0.3
titanic,2,0.6,140,36,0.4
titanic,2,0.8,125,33,0.6
titanic,2,1.0,201,50,0.5
titanic,3,0.0,62,19,5.0
titanic,3,0.2,68,20,10.1
titanic,3,0.4,201,50,0.6
titanic,3,0.6,201,50,0.8
titanic,3,0.8,201,50,1.8
titanic,3,1.0,201,50,2.7
titanic,4,0.0,58,20,10.0
titanic,4,0.2,125,33,1.4
titanic,4,0.4,140,36,2.4
titanic,4,0.6,140,36,10.2
titanic,4,0.8,201,50,5.9
titanic,4,1.0,201,50,6.1
iris,2,0.0,27,8,0.2
iris,2,0.2,7,4,0.5
iris,2,0.4,5,1,1.0
iris,2,0.6,5,1,0.5
iris,2,0.8,5,1,1.2
iris,2,1.0,5,1,2.3
iris,3,0.0,8,4,0.5
iris,3,0.2,1,1,3.2
iris,3,0.4,3,2,4.8
iris,3,0.6,1,4,10.1
iris,3,0.8,0,1,5.0
iris,3,1.0,0,1,3.6
iris,4,0.0,12,3,4.5
iris,4,0.2,0,1,1.4
iris,4,0.4,1,1,10.1
iris,4,0.6,0,1,2.3
iris,4,0.8,1,3,10.1
iris,4,1.0,3,1,10.2
seeds,2,0.0,28,10,0.3
seeds,2,0.2,15,3,0.8
seeds,2,0.4,10,3,2.9
seeds,2,0.6,12,2,4.1
seeds,2,0.8,10,3,10.0
seeds,2,1.0,10,3,10.1
seeds,3,0.0,38,9,1.2
seeds,3,0.2,12,2,10.1
seeds,3,0.4,12,3,10.1
seeds,3,0.6,11,3,10.0
seeds,3,0.8,10,2,10.1
seeds,3,1.0,18,4,10.5
seeds,4,0.0,43,12,4.8
seeds,4,0.2,11,3,10.1
seeds,4,0.4,10,3,10.3
seeds,4,0.6,13,4,10.1
seeds,4,0.8,16,6,10.2
seeds,4,1.0,21,6,10.2
wine,2,0.0,26,9,0.3
wine,2,0.2,14,4,0.9
wine,2,0.4,13,2,1.2
wine,2,0.6,6,0,2.1
wine,2,0.8,6,2,7.7
wine,2,1.0,5,2,10.0
wine,3,0.0,4,1,0.4
wine,3,0.2,6,2,10.1
wine,3,0.4,6,3,10.0
wine,3,0.6,2,4,10.0
wine,3,0.8,6,2,10.1
wine,3,1.0,3,1,10.2
wine,4,0.0,8,4,3.0
wine,4,0.2,14,5,10.1
wine,4,0.4,6,4,10.1
wine,4,0.6,10,5,10.2
wine,4,0.8,10,2,10.2
wine,4,1.0,18,8,10.2
penguins,2,0.0,62,5,0.2
penguins,2,0.2,18,2,0.9
penguins,2,0.4,11,2,2.1
penguins,2,0.6,14,5,10.0
penguins,2,0.8,13,3,10.1
penguins,2,1.0,13,5,10.1
penguins,3,0.0,48,5,1.2
penguins,3,0.2,12,1,10.0
penguins,3,0.4,12,1,10.1
penguins,3,0.6,13,4,10.1
penguins,3,0.8,9,3,10.1
penguins,3,1.0,13,4,10.1
penguins,4,0.0,102,27,4.9
penguins,4,0.2,21,7,10.1
penguins,4,0.4,8,1,10.1
penguins,4,0.6,24,3,10.2
penguins,4,0.8,122,37,10.2
penguins,4,1.0,159,32,10.8
