dataset_name,D,gamma,Errors_train,Errors_test,Resolution_time
titanic,2,0.0,133,34,0.0
titanic,2,0.2,62,19,1.2
titanic,2,0.4,63,20,10.0
titanic,2,0.6,201,50,0.3
titanic,2,0.8,140,36,0.7
titanic,2,1.0,201,50,0.5
titanic,3,0.0,133,34,0.0
titanic,3,0.2,64,21,10.1
titanic,3,0.4,67,19,10.1
titanic,3,0.6,141,36,1.9
titanic,3,0.8,144,37,5.2
titanic,3,1.0,201,50,2.6
titanic,4,0.0,133,34,0.0
titanic,4,0.2,67,20,10.0
titanic,4,0.4,120,33,10.1
titanic,4,0.6,140,36,3.3
titanic,4,0.8,138,36,10.2
titanic,4,1.0,201,50,5.6
iris,2,0.0,38,12,0.1
iris,2,0.2,5,1,0.1
iris,2,0.4,5,1,0.2
iris,2,0.6,5,1,0.3
iris,2,0.8,5,1,2.5
iris,2,1.0,5,1,2.2
iris,3,0.0,38,12,0.0
iris,3,0.2,4,1,1.4
iris,3,0.4,0,1,2.2
iris,3,0.6,0,1,1.7
iris,3,0.8,0,1,4.1
iris,3,1.0,0,1,3.4
iris,4,0.0,38,12,0.1
iris,4,0.2,3,2,6.7
iris,4,0.4,0,2,1.5
iris,4,0.6,0,2,4.9
iris,4,0.8,2,4,10.1
iris,4,1.0,3,1,10.2
seeds,2,0.0,53,17,0.1
seeds,2,0.2,22,6,0.4
seeds,2,0.4,14,3,0.6
seeds,2,0.6,10,3,2.1
seeds,2,0.8,10,3,10.0
seeds,2,1.0,11,2,10.1
seeds,3,0.0,53,17,0.1
seeds,3,0.2,24,8,3.7
seeds,3,0.4,11,3,10.1
seeds,3,0.6,10,3,10.1
seeds,3,0.8,12,3,10.1
seeds,3,1.0,13,4,10.2
seeds,4,0.0,53,17,0.1
seeds,4,0.2,27,8,8.1
seeds,4,0.4,8,3,10.1
seeds,4,0.6,17,4,10.1
seeds,4,0.8,46,12,10.2
seeds,4,1.0,11,3,10.2
wine,2,0.0,56,15,0.1
wine,2,0.2,10,5,0.4
wine,2,0.4,7,3,0.6
wine,2,0.6,5,2,1.6
wine,2,0.8,6,2,5.2
wine,2,1.0,5,2,10.1
wine,3,0.0,56,15,0.1
wine,3,0.2,0,2,1.5
wine,3,0.4,2,0,7.8
wine,3,0.6,0,2,10.0
wine,3,0.8,3,4,10.1
wine,3,1.0,3,1,10.1
wine,4,0.0,56,16,0.1
wine,4,0.2,5,5,5.3
wine,4,0.4,2,0,10.1
wine,4,0.6,5,1,10.1
wine,4,0.8,7,3,10.2
wine,4,1.0,18,8,10.2
penguins,2,0.0,159,32,0.0
penguins,2,0.2,17,1,0.6
penguins,2,0.4,16,1,1.0
penguins,2,0.6,11,2,2.2
penguins,2,0.8,11,2,10.0
penguins,2,1.0,13,5,10.1
penguins,3,0.0,159,32,0.0
penguins,3,0.2,12,1,6.5
penguins,3,0.4,8,1,10.1
penguins,3,0.6,8,2,10.1
penguins,3,0.8,6,1,10.1
penguins,3,1.0,54,11,10.1
penguins,4,0.0,159,32,0.0
penguins,4,0.2,10,1,10.0
penguins,4,0.4,6,1,10.1
penguins,4,0.6,12,5,10.1
penguins,4,0.8,20,3,10.3
penguins,4,1.0,159,32,10.2
