dataset_name,D,number_clusters,Errors_train,Errors_test,Resolution_time
titanic,2,5,141,36,2.0
titanic,2,8,141,36,0.2
titanic,2,11,141,36,0.1
titanic,2,14,200,50,0.1
titanic,2,17,201,50,0.2
titanic,2,20,200,50,0.2
titanic,3,5,201,50,0.1
titanic,3,8,201,50,0.1
titanic,3,11,201,50,0.1
titanic,3,14,201,50,0.1
titanic,3,17,201,50,0.1
titanic,3,20,201,50,0.1
titanic,4,5,201,50,0.3
titanic,4,8,201,50,0.5
titanic,4,11,201,50,0.5
titanic,4,14,140,36,0.2
titanic,4,17,140,36,0.2
titanic,4,20,140,36,0.2
iris,2,5,38,12,0.1
iris,2,8,38,12,0.1
iris,2,11,22,9,0.4
iris,2,14,22,9,0.2
iris,2,17,13,3,0.1
iris,2,20,13,3,0.5
iris,3,5,35,11,1.6
iris,3,8,22,9,1.5
iris,3,11,22,9,1.8
iris,3,14,22,9,1.6
iris,3,17,10,4,3.2
iris,3,20,10,3,3.4
iris,4,5,35,11,1.0
iris,4,8,21,9,2.3
iris,4,11,21,9,5.7
iris,4,14,15,8,5.5
iris,4,17,12,7,6.0
iris,4,20,9,3,6.4
seeds,2,5,49,18,0.1
seeds,2,8,41,15,0.2
seeds,2,11,34,13,0.2
seeds,2,14,31,12,0.4
seeds,2,17,19,5,0.4
seeds,2,20,31,12,0.4
seeds,3,5,49,17,1.0
seeds,3,8,34,13,1.6
seeds,3,11,38,15,2.5
seeds,3,14,33,9,2.8
seeds,3,17,31,9,4.3
seeds,3,20,37,13,3.9
seeds,4,5,46,15,5.4
seeds,4,8,30,9,6.6
seeds,4,11,25,10,8.0
seeds,4,14,25,10,10.1
seeds,4,17,30,8,10.1
seeds,4,20,28,7,10.0
wine,2,5,27,6,0.1
wine,2,8,15,3,0.2
wine,2,11,18,4,0.3
wine,2,14,18,4,0.3
wine,2,17,16,3,0.4
wine,2,20,16,3,0.4
wine,3,5,18,2,0.9
wine,3,8,15,1,0.7
wine,3,11,18,5,1.1
wine,3,14,17,4,3.0
wine,3,17,15,1,3.1
wine,3,20,14,3,3.6
wine,4,5,18,1,3.6
wine,4,8,17,1,4.1
wine,4,11,18,4,8.4
wine,4,14,19,5,8.0
wine,4,17,23,11,10.1
wine,4,20,25,7,10.1
penguins,2,5,150,31,0.2
penguins,2,8,161,35,0.8
penguins,2,11,85,16,0.5
penguins,2,14,61,14,0.4
penguins,2,17,66,16,0.4
penguins,2,20,82,16,0.7
penguins,3,5,150,31,0.4
penguins,3,8,152,33,1.0
penguins,3,11,107,21,1.5
penguins,3,14,54,12,3.3
penguins,3,17,83,19,1.9
penguins,3,20,65,20,4.6
penguins,4,5,150,31,0.7
penguins,4,8,152,33,4.1
penguins,4,11,140,32,7.2
penguins,4,14,33,9,8.4
penguins,4,17,67,19,8.0
penguins,4,20,31,7,8.8
