dataset_name,D,number_clusters,Errors_train,Errors_test,Resolution_time
titanic,2,5,201,50,0.6
titanic,2,8,201,50,0.6
titanic,2,11,201,50,0.6
titanic,2,14,201,50,0.7
titanic,2,17,201,50,0.6
titanic,2,20,201,50,0.6
titanic,3,5,201,50,2.8
titanic,3,8,201,50,2.8
titanic,3,11,201,50,2.8
titanic,3,14,201,50,2.8
titanic,3,17,201,50,2.9
titanic,3,20,201,50,2.8
titanic,4,5,201,50,5.9
titanic,4,8,201,50,5.2
titanic,4,11,201,50,5.1
titanic,4,14,201,50,5.1
titanic,4,17,201,50,5.2
titanic,4,20,201,50,5.1
iris,2,5,5,1,2.4
iris,2,8,5,1,2.5
iris,2,11,5,1,2.4
iris,2,14,5,1,3.1
iris,2,17,5,1,2.4
iris,2,20,5,1,3.2
iris,3,5,0,1,3.9
iris,3,8,0,1,4.1
iris,3,11,0,1,4.0
iris,3,14,0,1,3.5
iris,3,17,0,1,3.5
iris,3,20,0,1,3.5
iris,4,5,3,1,10.1
iris,4,8,3,1,10.1
iris,4,11,3,1,10.1
iris,4,14,3,1,10.2
iris,4,17,3,1,10.1
iris,4,20,3,1,10.2
seeds,2,5,11,2,10.0
seeds,2,8,13,2,40.6
seeds,2,11,11,2,10.1
seeds,2,14,11,2,10.1
seeds,2,17,11,2,10.0
seeds,2,20,11,2,10.1
seeds,3,5,14,4,10.2
seeds,3,8,18,4,10.3
seeds,3,11,14,5,10.6
seeds,3,14,13,4,10.2
seeds,3,17,18,4,10.5
seeds,3,20,14,4,10.2
seeds,4,5,18,5,10.3
seeds,4,8,21,4,10.2
seeds,4,11,18,5,10.2
seeds,4,14,21,4,10.3
seeds,4,17,18,5,10.2
seeds,4,20,11,3,10.2
wine,2,5,5,2,10.1
wine,2,8,5,2,10.1
wine,2,11,5,2,10.1
wine,2,14,5,2,10.1
wine,2,17,5,2,10.1
wine,2,20,5,2,10.1
wine,3,5,3,1,10.1
wine,3,8,3,1,10.1
wine,3,11,3,1,10.1
wine,3,14,3,1,10.2
wine,3,17,3,1,10.7
wine,3,20,3,1,10.1
wine,4,5,19,8,10.2
wine,4,8,18,8,10.2
wine,4,11,18,8,10.2
wine,4,14,18,8,10.2
wine,4,17,18,7,10.2
wine,4,20,23,9,10.2
penguins,2,5,13,5,10.0
penguins,2,8,13,5,10.0
penguins,2,11,13,5,10.1
penguins,2,14,13,5,10.1
penguins,2,17,13,5,10.0
penguins,2,20,13,5,10.1
penguins,3,5,54,11,10.2
penguins,3,8,54,11,10.1
penguins,3,11,54,11,10.2
penguins,3,14,54,11,10.1
penguins,3,17,54,11,10.1
penguins,3,20,54,11,10.1
penguins,4,5,159,32,10.2
penguins,4,8,159,32,10.2
penguins,4,11,159,32,10.2
penguins,4,14,159,32,10.2
penguins,4,17,159,32,10.2
penguins,4,20,159,32,10.2
