dataset_name,D,number_clusters,Errors_train,Errors_test,Resolution_time
titanic,2,5,64,19,1.9
titanic,2,8,64,19,0.6
titanic,2,11,64,19,0.4
titanic,2,14,67,20,0.9
titanic,2,17,64,19,0.7
titanic,2,20,64,19,1.6
titanic,3,5,201,50,0.1
titanic,3,8,63,21,6.1
titanic,3,11,87,22,5.6
titanic,3,14,62,17,10.1
titanic,3,17,63,16,10.1
titanic,3,20,61,17,7.4
titanic,4,5,66,19,10.1
titanic,4,8,135,36,10.1
titanic,4,11,68,20,10.1
titanic,4,14,104,26,10.1
titanic,4,17,60,18,10.1
titanic,4,20,62,19,10.1
iris,2,5,5,1,0.1
iris,2,8,5,1,0.1
iris,2,11,5,1,0.2
iris,2,14,5,1,0.2
iris,2,17,9,4,0.2
iris,2,20,5,1,0.1
iris,3,5,15,6,0.3
iris,3,8,10,5,0.3
iris,3,11,3,2,0.6
iris,3,14,3,1,1.7
iris,3,17,3,1,1.4
iris,3,20,4,2,0.9
iris,4,5,2,1,3.5
iris,4,8,3,2,4.5
iris,4,11,1,1,4.2
iris,4,14,6,2,4.2
iris,4,17,2,5,6.0
iris,4,20,3,3,6.0
seeds,2,5,27,9,0.1
seeds,2,8,11,2,0.2
seeds,2,11,15,3,0.4
seeds,2,14,11,3,0.3
seeds,2,17,23,2,0.5
seeds,2,20,11,2,0.6
seeds,3,5,24,8,3.0
seeds,3,8,21,6,2.4
seeds,3,11,23,5,4.2
seeds,3,14,9,2,7.0
seeds,3,17,15,2,5.5
seeds,3,20,9,2,5.1
seeds,4,5,12,5,10.1
seeds,4,8,17,3,6.6
seeds,4,11,20,4,10.0
seeds,4,14,15,3,10.1
seeds,4,17,11,3,10.0
seeds,4,20,10,3,10.1
wine,2,5,13,3,0.1
wine,2,8,27,8,0.2
wine,2,11,12,3,0.3
wine,2,14,16,4,0.3
wine,2,17,11,2,0.4
wine,2,20,14,3,0.4
wine,3,5,7,1,1.1
wine,3,8,16,4,0.7
wine,3,11,12,3,3.9
wine,3,14,10,1,4.5
wine,3,17,5,2,5.5
wine,3,20,2,1,7.1
wine,4,5,5,3,2.2
wine,4,8,9,2,3.1
wine,4,11,15,4,5.0
wine,4,14,13,4,6.4
wine,4,17,6,4,10.1
wine,4,20,4,1,10.1
penguins,2,5,52,14,0.1
penguins,2,8,27,6,0.2
penguins,2,11,20,3,0.2
penguins,2,14,35,2,0.3
penguins,2,17,29,5,0.3
penguins,2,20,17,0,0.3
penguins,3,5,23,3,0.3
penguins,3,8,38,4,0.3
penguins,3,11,26,6,0.6
penguins,3,14,11,1,2.6
penguins,3,17,19,3,3.4
penguins,3,20,13,3,3.1
penguins,4,5,55,14,3.8
penguins,4,8,30,3,4.1
penguins,4,11,25,6,6.3
penguins,4,14,29,3,7.7
penguins,4,17,9,1,5.3
penguins,4,20,30,3,10.0
